"","...1","fundamentalismo","desconfia","E179WVS","partido","proMERCADO"
"245",770,0.0792464582470302,0.73133441160046,152004,"DC",0
"246",771,0.703009566485103,0.314583727323192,152004,"DC",0
"247",772,0.737204402489675,0.421522402636911,152004,"DC",0.555555555555556
"248",773,0.543013476143191,0.578103245497448,152004,"DC",0.888888888888889
"249",774,0.201747301538302,0.389191309593606,152004,"DC",0.222222222222222
"250",775,0.341679107895264,0.542291707810757,152004,"DC",0.222222222222222
"251",776,0.403889132646507,0.448666238928076,152004,"DC",0.222222222222222
"252",777,0.488022385365658,0.445026973189027,152004,"DC",0
"253",778,0.122331353786952,0.314583727323192,152004,"DC",0.222222222222222
"254",779,0.567481950287772,0.536419901659536,152004,"DC",0
"255",780,0.686573387529322,0.810945643491012,152004,"DC",0.333333333333333
"256",781,0.201747301538302,0.314583727323192,152004,"DC",0.333333333333333
"257",782,0.303921625212281,0.429477243290776,152004,"DC",0.555555555555556
"258",783,0.917479296696365,0.789665065757826,152004,"DC",0.111111111111111
"259",784,0.644597113151643,0.639287170113269,152004,"DC",0
"260",785,0.568075267119058,0.52170638277265,152004,"DC",0.555555555555556
"261",786,0.337164628312018,0.314583727323192,152004,"DC",0.777777777777778
"262",787,0.458399737334996,0.583783201049336,152004,"DC",0
"263",788,0.460024906073131,0.847462917966785,152004,"DC",0.444444444444444
"264",789,0,0.328245411794328,152004,"DC",0.555555555555556
"265",790,0.567481950287772,0.700391163877756,152004,"DC",0.333333333333333
"266",791,0.453039852394503,0.803139255352553,152004,"DC",0.888888888888889
"267",792,0.593445823140181,0.475171916984574,152004,"DC",0.555555555555556
"268",793,0.732269430973391,0.34292924315384,152004,"DC",0.777777777777778
"269",794,0.542336447467567,0.555921567406441,152004,"DC",0.333333333333333
"270",795,0.821309649992546,0.291298686451845,152004,"DC",0
"271",796,0.365081499362098,0.460534490587558,152004,"DC",0.666666666666667
"272",797,0.644597113151643,0.306305141365717,152004,"DC",0.111111111111111
"273",798,0.629483023645769,0.324570850540964,152004,"DC",0.333333333333333
"274",799,0.615130427306883,0.555270964868648,152004,"DC",0.111111111111111
"275",800,0.579949079023155,0.553011474168391,152004,"DC",0.444444444444444
"276",801,0.846406878238007,0.580719896629634,152004,"DC",0.222222222222222
"277",802,0.662922909816282,0.61593861420229,152004,"DC",0.888888888888889
"278",803,0.621814862691219,0.728069941303107,152004,"DC",0.555555555555556
"279",804,0.417851214540997,0.660893988750326,152004,"DC",0.333333333333333
"280",805,0.636724526057431,0.380152493234802,152004,"DC",0
"281",806,0.567481950287772,0.483121647645973,152004,"DC",0.111111111111111
"282",807,0.466669409845016,0.448666238928076,152004,"DC",0.111111111111111
"283",808,0,0.593320418444628,152004,"DC",1
